base_mean_target_mass,base_rank1_rate,coordinate_id,protected_lift_vs_base,protected_lift_vs_task_only,protected_mean_target_mass,protected_median_target_margin,protected_rank1_rate,row_count_per_condition,task_only_mean_target_mass,task_only_rank1_rate
0.008417424272636254,0.76171875,1,0.00976266305616491,0.015528202079913012,0.018180087328801164,-0.12921502627432346,0.0,256,0.002651885248888153,0.75390625
0.0001903109229994815,0.18359375,10,0.0013553499507172884,0.0015336807917690383,0.0015456608737167699,-0.001132853445596993,0.01171875,256,1.1980081947731563e-05,0.2890625
0.009869994735566934,0.83984375,15,0.00859975469407459,0.015294466595777712,0.018469749429641524,0.0017542284913361073,0.59765625,256,0.003175282833863813,0.875
0.005909840065412286,0.22265625,17,-0.0005852743490479817,0.0017403086974762672,0.0053245657163643045,-0.01176837703678757,0.01171875,256,0.0035842570188880374,0.2890625
0.024416908676045068,0.82421875,19,-0.02225335149674379,-0.01093611883198431,0.0021635571793012787,-0.14401931874454021,0.0,256,0.013099676011285588,0.828125
0.0004212247752617415,0.24609375,20,0.0026704499898118073,0.003049685772178911,0.0030916747650735488,0.001093386672437191,1.0,256,4.198899289463778e-05,0.33984375
0.024774103649747303,0.828125,22,-0.004114403802873312,0.007280670372566078,0.02065969984687399,0.0054191346280276775,0.80078125,256,0.013379029474307913,0.8515625
0.009172481554855949,0.79296875,23,0.007037563110202427,0.013472865979085702,0.016210044665058376,0.012342271977104247,1.0,256,0.0027371786859726743,0.7265625
0.0023153433571607707,0.34375,24,0.0009453985117104935,0.00244415818633395,0.003260741868871264,-0.1440985306398943,0.0,256,0.0008165836825373141,0.41015625
0.0032961657738370675,0.29296875,26,-0.001674015062154588,0.0008565191752726437,0.0016221507116824796,0.0001090654986910522,0.6484375,256,0.0007656315364098359,0.30859375
0.0001539723623018574,0.15625,3,0.001974518916807,0.002121740742580161,0.0021284912791088573,0.00026079488452523947,0.78515625,256,6.750536528696283e-06,0.26953125
0.017648139777179495,0.96875,31,-0.012081693352797629,-0.00505159630097296,0.005566446424381866,0.002930465678218752,1.0,256,0.010618042725354826,0.97265625
0.012286151624209651,0.265625,4,0.005563201488769209,0.012297108257400158,0.01784935311297886,-0.0013860994949936867,0.3984375,256,0.005552244855578703,0.1796875
0.0031637483030175773,0.35546875,6,0.00020284942500037317,0.002187391006864825,0.0033665977280179504,-0.14350344066042453,0.0,256,0.0011792067211531254,0.40234375
0.02997394702079248,0.70703125,7,0.11672991958066348,0.12681282329451693,0.14670386660145596,0.14616101887077093,1.0,256,0.019891043306939027,0.66796875
0.015082389464801338,0.8828125,8,-0.0132982623815181,-0.009089417948646927,0.0017841270832832379,-3.7344812881201506e-05,0.46875,256,0.010873545031930165,0.90234375
