base_mean_target_mass,base_rank1_rate,protected_lift_vs_base,protected_lift_vs_task_only,protected_mean_target_mass,protected_median_target_margin,protected_rank1_rate,row_count_per_condition,target_surface_label,task_only_mean_target_mass,task_only_rank1_rate
0.00026950317749196984,0.28125,0.0020652165136425538,0.002325334539543533,0.0023347196911345236,0.0004746181657537818,0.890625,64,adjust the next detail for the team,9.385151590990404e-06,0.46875
0.03276003838345787,0.75,0.1113267139362506,0.11418189880049567,0.14408675231970847,0.14397113636368886,1.0,64,check the status update for the team,0.029904853519212793,0.703125
0.04269479347658489,0.875,-0.04060687642140692,-0.029623962130308712,0.002087917055177968,-0.14599394635297358,0.0,64,check the timing choice for the team,0.03171187918548668,0.84375
0.00994246536265564,0.84375,0.008476750238514796,0.013260149154351808,0.018419215601170436,-0.12509550713002682,0.0,64,choose the next detail for the team,0.005159066446818628,0.84375
0.0010998549658722823,0.359375,0.0017725257204403988,0.002690802455322161,0.002872380686312681,-0.14654466696083546,0.0,64,choose the support materials for the team,0.00018157823099052006,0.40625
0.005914273376447454,0.890625,0.01321046142106752,0.017705312299352016,0.019124734797514975,0.004381205420941114,0.59375,64,choose the timing choice for the team,0.0014194224981629588,0.90625
0.0016821193823126634,0.4375,0.0016000034155148057,0.002821516574120775,0.003282122797827469,-0.14528585015796125,0.0,64,choose the working notes for the team,0.00046060622370669435,0.5
0.0022545393266000247,0.359375,0.0012370301511737125,0.0023068454690733375,0.003491569477773737,-0.14010364306159317,0.0,64,clarify the support materials for the team,0.0011847240087003996,0.484375
0.009787932986569103,0.8125,0.007814223046239022,0.015683852998836123,0.017602156032808125,-0.0008355546742677689,0.453125,64,clarify the timing choice for the team,0.001918303033972002,0.890625
0.0028514849089447125,0.1875,0.00035582734761874235,0.002367831166452561,0.003207312256563455,-0.14300244685728103,0.0,64,clarify the working notes for the team,0.000839481090110894,0.203125
0.006159966519810212,0.203125,-0.001360862948097008,-0.0003032868816505996,0.0047991035717132036,-0.010743836988694966,0.0,64,collect the next detail for the team,0.005102390453363803,0.25
0.001144218063297231,0.125,0.003035334279678281,0.004043178445825482,0.004179552342975512,0.001655929023399949,1.0,64,collect the support materials for the team,0.00013637389715003,0.28125
0.017893137491228117,0.875,-0.011027463567188533,-0.0058343767745441255,0.006865673924039584,0.003011351218447089,1.0,64,collect the timing choice for the team,0.01270005069858371,0.890625
8.58771028422467e-05,0.203125,0.001450956862631969,0.0015329446184769169,0.0015368339654742158,-0.001789258501958102,0.0,64,collect the working notes for the team,3.889346997298926e-06,0.3125
0.005733589690066765,0.53125,0.010242466417253127,0.014210937488480901,0.01597605610731989,0.012933610822074115,1.0,64,compare the status update for the team,0.00176511861883899,0.5625
0.006978178219014808,0.359375,0.011852407933020004,0.01720731853081503,0.01883058615203481,0.001358637586236,0.53125,64,compare the support materials for the team,0.0016232676212197816,0.234375
0.006044494860248051,0.453125,0.14044711185954384,0.14493952953048606,0.1464916067197919,0.14647798461373895,1.0,64,confirm the status update for the team,0.0015520771893058338,0.421875
0.04015948242158629,0.890625,-0.01941647203057073,0.0029364189449552214,0.02074301039101556,0.004125101957470179,0.8125,64,draft the working notes for the team,0.017806591446060338,0.90625
0.0008475549257127568,0.171875,0.0007259779049491044,0.0015167543007710838,0.0015735328306618612,0.0001976887579075992,0.90625,64,estimate the working notes for the team,5.6778529890777474e-05,0.15625
0.009661608443821024,0.75,0.008257666796453123,0.01542335846583498,0.017919275240274146,-0.12799612246453762,0.0,64,explain the next detail for the team,0.0024959167744391664,0.734375
0.0172500873509307,0.9375,-0.0014257690404519963,0.010970040360547273,0.015824318310478702,0.012060152250342071,1.0,64,explain the status update for the team,0.004854277949931429,0.859375
