grid_id,bonus_nats,penalty_nats,max_target_mass,max_kl_budget,base_mean_target_mass,task_only_mean_target_mass,controlled_protected_mean_target_mass,wrong_key_controlled_mean_target_mass,wrong_payload_controlled_mean_target_mass,controlled_protected_lift_vs_base,controlled_protected_lift_vs_task_only,wrong_key_lift_vs_base,wrong_payload_lift_vs_base,controlled_protected_rank1_rate,controlled_protected_median_margin,wrong_key_rank1_rate,wrong_payload_rank1_rate,protected_basic_gate_pass,wrong_key_basic_gate_pass,wrong_payload_basic_gate_pass,null_selectivity_pass,overall_selective_gate_pass
grid_00,0.25,0.0,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.28904635665821843,0.2814564951900138,0.2738785866968101,0.2842145196143804,0.28737392880957646,0.27662465814617576,0.26904674965297204,1.0,0.24982533609727398,1.0,1.0,True,True,True,False,False
grid_01,0.25,0.0,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.28904635665821843,0.2814564951900138,0.2738785866968101,0.2842145196143804,0.28737392880957646,0.27662465814617576,0.26904674965297204,1.0,0.24982533609727398,1.0,1.0,True,True,True,False,False
grid_02,0.25,0.0,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.2996843167638872,0.2868050059264533,0.2738785866968101,0.29485247972004913,0.2980118889152452,0.28197316888261525,0.26904674965297204,1.0,0.2939695239474531,1.0,1.0,True,True,True,False,False
grid_03,0.25,0.0,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.2996843167638872,0.2868050059264533,0.2738785866968101,0.29485247972004913,0.2980118889152452,0.28197316888261525,0.26904674965297204,1.0,0.2939695239474531,1.0,1.0,True,True,True,False,False
grid_04,0.25,0.0,0.45,0.05,0.00483183704383805,0.0016724278486419664,0.30851418784004636,0.291081968015078,0.2738785866968101,0.3036823507962083,0.3068417599914044,0.28625013097123997,0.26904674965297204,1.0,0.2939695239474531,1.0,1.0,True,True,True,False,False
grid_05,0.25,0.0,0.45,0.1,0.00483183704383805,0.0016724278486419664,0.30851418784004636,0.291081968015078,0.2738785866968101,0.3036823507962083,0.3068417599914044,0.28625013097123997,0.26904674965297204,1.0,0.2939695239474531,1.0,1.0,True,True,True,False,False
grid_06,0.25,0.25,0.25,0.05,0.00483183704383805,0.0016724278486419664,0.2891038695597672,0.26028591890508324,0.23189092742177309,0.28427203251592914,0.2874314417111252,0.2554540818612452,0.22705909037793504,1.0,0.24985916107107187,1.0,1.0,True,True,True,False,False
grid_07,0.25,0.25,0.25,0.1,0.00483183704383805,0.0016724278486419664,0.2891038695597672,0.26028591890508324,0.23189092742177309,0.28427203251592914,0.2874314417111252,0.2554540818612452,0.22705909037793504,1.0,0.24985916107107187,1.0,1.0,True,True,True,False,False
grid_08,0.25,0.25,0.35,0.05,0.00483183704383805,0.0016724278486419664,0.299763969356718,0.26564555153936453,0.23189092742177309,0.29493213231287996,0.29809154150807604,0.2608137144955265,0.22705909037793504,1.0,0.2945174806081923,1.0,1.0,True,True,True,False,False
grid_09,0.25,0.25,0.35,0.1,0.00483183704383805,0.0016724278486419664,0.299763969356718,0.26564555153936453,0.23189092742177309,0.29493213231287996,0.29809154150807604,0.2608137144955265,0.22705909037793504,1.0,0.2945174806081923,1.0,1.0,True,True,True,False,False
