row_id,display_name,method_type,paper_status,target_count,success_count,method_failure_count,pending_count,success_rate,ci95_low,ci95_high,query_budget_scope,required_label,source_summary,source_table,notes
ours_g1_payload_seed_scale,Ours (compiled ownership),proposed_method,main_method,48,48,0,0,1.0,0.9258973488472576,0.9999999999999999,frozen paper protocol,proposed method,results/processed/paper_stats/g1_summary.json,results/tables/g1_payload_seed_scale.csv,Publication-scale Qwen payload x seed package.
fixed_representative,Fixed representative,baseline_or_ablation,internal_ablation,12,12,0,0,1.0,0.7574992425007574,1.0,B0 matched budget,internal_ablation,results/processed/paper_stats/baseline_summary.json,results/tables/matched_budget_baselines.csv,"Internal ablation, not an external baseline."
uniform_bucket,Uniform bucket,baseline_or_ablation,internal_ablation,12,12,0,0,1.0,0.7574992425007574,1.0,B0 matched budget,internal_ablation,results/processed/paper_stats/baseline_summary.json,results/tables/matched_budget_baselines.csv,"Internal ablation, not an external baseline."
english_random_active_fingerprint,English-random active fingerprint,baseline_or_ablation,negative_diagnostic,12,0,12,0,0.0,0.0,0.2425007574992425,B0 matched budget,negative_diagnostic,results/processed/paper_stats/baseline_summary.json,results/tables/matched_budget_baselines.csv,Weak proxy baseline; valid failures remain in denominator.
scalable_fingerprinting_perinucleus_official_qwen_final,Scalable/Perinucleus (Qwen-adapted official),external_active_ownership_baseline,main_external_baseline_with_adaptation_label,48,48,0,0,1.0,0.9258973488472576,0.9999999999999999,q=1/3/5/10 diagnostic grid,Qwen-adapted official Scalable/Perinucleus baseline,results/processed/paper_stats/baseline_perinucleus_official_qwen_final_summary.json,results/tables/baseline_perinucleus_official_qwen_final.csv,Official-code Qwen LoRA adaptation; do not conflate with legacy adapted baseline_perinucleus artifacts.
