kind,arm_id,num_fingerprints,target_modules_label,lora_rank,epochs_run,exact_accuracy,target_rank_mean,target_probability_mean,train_ce_mean,utility_status,total_accuracy,base_total_accuracy,absolute_drop,relative_drop,utility_pass,adapter_path,eval_results_path,missing_metrics,error
base,base,,,,,,,,,completed,0.6035317339934293,0.6035317339934293,0.0,0.0,True,,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_candidate_utility/runs/manual_20260430T014700Z/eval_results/base_eval_results.json,[],
adapter,qv_r64_fp16_e30,16,qv,64,30,1.0,1.0,0.998759288340807,0.001210316174365289,completed,0.607548613797407,0.6035317339934293,-0.004016879803977691,-0.006655623188856915,True,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_capacity_sweep/runs/manual_20260429T182756Z/arms/qv_r64_fp16_e30/adapter_final,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_candidate_utility/runs/manual_20260430T014700Z/eval_results/qv_r64_fp16_e30_eval_results.json,[],
adapter,all_linear_r16_fp16_e30,16,all_linear,16,30,1.0,1.0,0.9993154965341091,0.0006736922214258811,completed,0.6172300852420466,0.6035317339934293,-0.013698351248617291,-0.02269698588668815,True,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_capacity_sweep/runs/manual_20260429T182756Z/arms/all_linear_r16_fp16_e30/adapter_final,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_candidate_utility/runs/manual_20260430T014700Z/eval_results/all_linear_r16_fp16_e30_eval_results.json,[],
adapter,all_linear_r64_fp64_e80,64,all_linear,64,80,1.0,1.0,0.9999891147017479,1.0892617459568044e-05,completed,0.6191832009104691,0.6035317339934293,-0.01565146691703978,-0.02593313000043537,True,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_capacity_sweep/runs/manual_20260429T182756Z/arms/all_linear_r64_fp64_e80/adapter_final,/hpcstor6/scratch01/g/guanjie.lin001/tokenizer-evidence/baselines/perinucleus_qwen_candidate_utility/runs/manual_20260430T014700Z/eval_results/all_linear_r64_fp64_e80_eval_results.json,[],
