block_id,arm,source_condition,dry_run_decoder_accept,keyed_correlation_score,wrong_key_correlation_score,wrong_payload_correlation_score,specificity_margin,observed_events,distinct_coordinates,format_scrub_mode
shard_02_block_04,wrong_payload,protected,False,-111.0,121.0,123.0,-234.0,143,17,all
shard_02_block_05,protected,protected,True,151.0,-127.0,-151.0,278.0,187,19,all
shard_02_block_05,wrong_key,protected,False,-127.0,151.0,145.0,-278.0,187,19,all
shard_02_block_05,wrong_payload,protected,False,-151.0,145.0,151.0,-302.0,187,19,all
shard_02_block_06,protected,protected,True,117.0,-129.0,-111.0,228.0,203,25,all
shard_02_block_06,wrong_key,protected,False,-129.0,117.0,115.0,-246.0,203,25,all
shard_02_block_06,wrong_payload,protected,False,-111.0,115.0,117.0,-228.0,203,25,all
shard_02_block_07,protected,protected,True,134.0,-136.0,-154.0,270.0,204,18,all
shard_02_block_07,wrong_key,protected,False,-136.0,134.0,144.0,-280.0,204,19,all
shard_02_block_07,wrong_payload,protected,False,-154.0,144.0,134.0,-298.0,204,18,all
shard_03_block_00,protected,protected,True,108.0,-122.0,-116.0,224.0,192,22,all
shard_03_block_00,wrong_key,protected,False,-122.0,108.0,112.0,-234.0,192,23,all
shard_03_block_00,wrong_payload,protected,False,-116.0,112.0,108.0,-228.0,192,20,all
shard_03_block_01,protected,protected,True,103.0,-125.0,-119.0,222.0,197,19,all
shard_03_block_01,wrong_key,protected,False,-125.0,103.0,129.0,-254.0,197,20,all
shard_03_block_01,wrong_payload,protected,False,-119.0,129.0,103.0,-248.0,197,20,all
shard_03_block_02,protected,protected,True,133.0,-159.0,-147.0,280.0,243,24,all
shard_03_block_02,wrong_key,protected,False,-159.0,133.0,163.0,-322.0,243,21,all
shard_03_block_02,wrong_payload,protected,False,-147.0,163.0,133.0,-310.0,243,22,all
shard_03_block_03,protected,protected,False,184.0,-212.0,-182.0,366.0,236,17,all
shard_03_block_03,wrong_key,protected,False,-212.0,184.0,206.0,-418.0,236,17,all
shard_03_block_03,wrong_payload,protected,False,-182.0,206.0,184.0,-388.0,236,18,all
shard_03_block_04,protected,protected,True,200.0,-210.0,-198.0,398.0,242,19,all
shard_03_block_04,wrong_key,protected,False,-210.0,200.0,224.0,-434.0,242,18,all
shard_03_block_04,wrong_payload,protected,False,-198.0,224.0,200.0,-422.0,242,17,all
shard_03_block_05,protected,protected,False,164.0,-178.0,-156.0,320.0,216,15,all
shard_03_block_05,wrong_key,protected,False,-178.0,164.0,188.0,-366.0,216,16,all
shard_03_block_05,wrong_payload,protected,False,-156.0,188.0,164.0,-344.0,216,15,all
shard_03_block_06,protected,protected,False,178.0,-196.0,-182.0,360.0,238,17,all
shard_03_block_06,wrong_key,protected,False,-196.0,178.0,204.0,-400.0,238,17,all
shard_03_block_06,wrong_payload,protected,False,-182.0,204.0,178.0,-386.0,238,18,all
shard_03_block_07,protected,protected,False,175.0,-179.0,-173.0,348.0,219,16,all
shard_03_block_07,wrong_key,protected,False,-179.0,175.0,193.0,-372.0,219,14,all
shard_03_block_07,wrong_payload,protected,False,-173.0,193.0,175.0,-366.0,219,13,all
shard_00_block_00,raw,raw,True,65.0,-89.0,-49.0,114.0,131,21,all
shard_00_block_01,raw,raw,False,66.0,-70.0,-48.0,114.0,100,17,all
shard_00_block_02,raw,raw,False,58.0,-72.0,-50.0,108.0,106,16,all
shard_00_block_03,raw,raw,False,55.0,-83.0,-55.0,110.0,117,17,all
shard_00_block_04,raw,raw,True,73.0,-93.0,-67.0,140.0,123,20,all
shard_00_block_05,raw,raw,False,68.0,-86.0,-66.0,134.0,136,17,all
shard_00_block_06,raw,raw,True,89.0,-91.0,-87.0,176.0,127,20,all
shard_00_block_07,raw,raw,False,102.0,-110.0,-98.0,200.0,124,12,all
shard_01_block_00,raw,raw,True,58.0,-58.0,-58.0,116.0,104,19,all
shard_01_block_01,raw,raw,True,64.0,-88.0,-32.0,96.0,138,19,all
shard_01_block_02,raw,raw,True,39.0,-57.0,-31.0,70.0,97,18,all
shard_01_block_03,raw,raw,False,29.0,-57.0,-27.0,56.0,85,17,all
shard_01_block_04,raw,raw,False,51.0,-59.0,-45.0,96.0,131,16,all
shard_01_block_05,raw,raw,False,42.0,-68.0,-36.0,78.0,122,16,all
shard_01_block_06,raw,raw,False,40.0,-62.0,-30.0,70.0,112,17,all
shard_01_block_07,raw,raw,False,39.0,-67.0,-39.0,78.0,83,15,all
shard_02_block_00,raw,raw,True,40.0,-82.0,-40.0,80.0,102,18,all
shard_02_block_01,raw,raw,False,54.0,-72.0,-64.0,118.0,126,17,all
shard_02_block_02,raw,raw,True,61.0,-73.0,-43.0,104.0,109,19,all
shard_02_block_03,raw,raw,False,62.0,-78.0,-46.0,108.0,122,16,all
shard_02_block_04,raw,raw,True,49.0,-59.0,-19.0,68.0,93,18,all
shard_02_block_05,raw,raw,False,55.0,-75.0,-45.0,100.0,97,17,all
shard_02_block_06,raw,raw,True,59.0,-87.0,-39.0,98.0,137,18,all
shard_02_block_07,raw,raw,False,15.0,-63.0,-9.0,24.0,95,17,all
shard_03_block_00,raw,raw,False,15.0,-65.0,-3.0,18.0,109,16,all
shard_03_block_01,raw,raw,False,15.0,-87.0,3.0,12.0,103,17,all
shard_03_block_02,raw,raw,True,32.0,-104.0,-36.0,68.0,130,18,all
shard_03_block_03,raw,raw,False,90.0,-130.0,-88.0,178.0,152,15,all
shard_03_block_04,raw,raw,False,120.0,-130.0,-118.0,238.0,160,16,all
shard_03_block_05,raw,raw,False,122.0,-158.0,-114.0,236.0,184,15,all
shard_03_block_06,raw,raw,True,114.0,-136.0,-108.0,222.0,166,18,all
shard_03_block_07,raw,raw,False,114.0,-138.0,-110.0,224.0,168,11,all
shard_00_block_00,task_only,task_only,False,59.0,-79.0,-45.0,104.0,105,17,all
shard_00_block_01,task_only,task_only,True,49.0,-75.0,-41.0,90.0,107,18,all
shard_00_block_02,task_only,task_only,False,45.0,-75.0,-45.0,90.0,117,17,all
shard_00_block_03,task_only,task_only,True,51.0,-77.0,-39.0,90.0,123,19,all
shard_00_block_04,task_only,task_only,False,54.0,-82.0,-56.0,110.0,122,17,all
shard_00_block_05,task_only,task_only,True,66.0,-92.0,-64.0,130.0,124,19,all
shard_00_block_06,task_only,task_only,False,81.0,-87.0,-73.0,154.0,115,15,all
shard_00_block_07,task_only,task_only,False,104.0,-114.0,-98.0,202.0,136,17,all
shard_01_block_00,task_only,task_only,True,63.0,-77.0,-55.0,118.0,129,19,all
shard_01_block_01,task_only,task_only,True,63.0,-99.0,-49.0,112.0,139,19,all
shard_01_block_02,task_only,task_only,True,64.0,-64.0,-52.0,116.0,114,21,all
shard_01_block_03,task_only,task_only,False,51.0,-73.0,-51.0,102.0,91,17,all
shard_01_block_04,task_only,task_only,True,41.0,-53.0,-39.0,80.0,111,21,all
shard_01_block_05,task_only,task_only,True,48.0,-70.0,-54.0,102.0,122,21,all
shard_01_block_06,task_only,task_only,False,40.0,-72.0,-36.0,76.0,114,16,all
shard_01_block_07,task_only,task_only,False,29.0,-71.0,-27.0,56.0,101,17,all
shard_02_block_00,task_only,task_only,True,32.0,-78.0,-46.0,78.0,100,20,all
shard_02_block_01,task_only,task_only,False,53.0,-79.0,-59.0,112.0,113,16,all
shard_02_block_02,task_only,task_only,True,56.0,-72.0,-40.0,96.0,106,19,all
shard_02_block_03,task_only,task_only,False,63.0,-79.0,-49.0,112.0,109,13,all
shard_02_block_04,task_only,task_only,False,60.0,-80.0,-34.0,94.0,100,16,all
shard_02_block_05,task_only,task_only,False,74.0,-82.0,-66.0,140.0,106,13,all
shard_02_block_06,task_only,task_only,True,51.0,-85.0,-35.0,86.0,117,19,all
shard_02_block_07,task_only,task_only,True,35.0,-53.0,-21.0,56.0,91,20,all
shard_03_block_00,task_only,task_only,False,42.0,-64.0,-16.0,58.0,110,17,all
shard_03_block_01,task_only,task_only,True,24.0,-82.0,-2.0,26.0,118,18,all
shard_03_block_02,task_only,task_only,True,51.0,-79.0,-47.0,98.0,127,22,all
shard_03_block_03,task_only,task_only,False,94.0,-128.0,-86.0,180.0,156,15,all
shard_03_block_04,task_only,task_only,False,108.0,-128.0,-100.0,208.0,144,17,all
shard_03_block_05,task_only,task_only,False,101.0,-145.0,-101.0,202.0,153,13,all
shard_03_block_06,task_only,task_only,False,85.0,-127.0,-87.0,172.0,149,17,all
shard_03_block_07,task_only,task_only,False,122.0,-152.0,-126.0,248.0,174,14,all
