condition,mean_target_mass,lift_vs_base,lift_vs_task_only,rank1_rate,median_target_margin,row_count
base,0.010443259145989078,0.0,0.004919238724459063,0.5419921875,9.254756878362969e-05,4096
protected_gain_0,0.010443259145989078,0.0,0.004919238724459063,0.5419921875,9.254756878362969e-05,4096
protected_gain_0_5,0.01923984053615868,0.008796581390169603,0.013715820114628666,0.50927734375,0.00010526832193136215,4096
protected_gain_1,0.016745425913413214,0.006302166767424136,0.0112214054918832,0.482666015625,-9.987642988562584e-05,4096
protected_gain_1_5,0.014971939032008663,0.004528679886019585,0.009447918610478648,0.45458984375,-0.00023006374249234796,4096
protected_gain_2,0.013361848540014876,0.0029185893940257973,0.00783782811848486,0.431884765625,-0.0002966029569506645,4096
protected_gain_3,0.010687618746970884,0.00024435960098180554,0.005163598325440869,0.373779296875,-0.00039413984632119536,4096
protected_gain_4,0.008850594024607972,-0.0015926651213811066,0.0033265736030779567,0.364990234375,-0.0003914873523171991,4096
task_only,0.005524020421530014,-0.004919238724459064,-8.673617379884035e-19,0.566650390625,6.013862019926819e-06,4096
