condition,coordinate_id,mean_target_mass,rank1_rate,median_target_margin,row_count
base,1,0.008417424272636254,0.76171875,0.0018359208479523659,256
base,3,0.0001539723623018574,0.15625,-0.0001658518185649882,256
base,4,0.012286151624209651,0.265625,-0.003985219809692353,256
base,6,0.0031637483030175773,0.35546875,-0.003582627105060965,256
base,7,0.02997394702079248,0.70703125,0.0017874635032057995,256
base,8,0.015082389464801338,0.8828125,0.003033282613614574,256
base,10,0.0001903109229994815,0.18359375,-0.00011549950886546867,256
base,15,0.009869994735566934,0.83984375,0.0027554470079849125,256
base,17,0.005909840065412286,0.22265625,-0.007121782895410433,256
base,19,0.024416908676045068,0.82421875,0.005880650496692397,256
base,20,0.0004212247752617415,0.24609375,-6.14337986917235e-05,256
base,22,0.024774103649747303,0.828125,0.007821560662705451,256
base,23,0.009172481554855949,0.79296875,0.0021379924146458507,256
base,24,0.0023153433571607707,0.34375,-0.001094621267839102,256
base,26,0.0032961657738370675,0.29296875,-0.0020952208287781104,256
base,31,0.017648139777179495,0.96875,0.010379485298244617,256
protected_gain_0,1,0.008417424272636254,0.76171875,0.0018359208479523659,256
protected_gain_0,3,0.0001539723623018574,0.15625,-0.0001658518185649882,256
protected_gain_0,4,0.012286151624209651,0.265625,-0.003985219809692353,256
protected_gain_0,6,0.0031637483030175773,0.35546875,-0.003582627105060965,256
protected_gain_0,7,0.02997394702079248,0.70703125,0.0017874635032057995,256
protected_gain_0,8,0.015082389464801338,0.8828125,0.003033282613614574,256
protected_gain_0,10,0.0001903109229994815,0.18359375,-0.00011549950886546867,256
protected_gain_0,15,0.009869994735566934,0.83984375,0.0027554470079849125,256
protected_gain_0,17,0.005909840065412286,0.22265625,-0.007121782895410433,256
protected_gain_0,19,0.024416908676045068,0.82421875,0.005880650496692397,256
protected_gain_0,20,0.0004212247752617415,0.24609375,-6.14337986917235e-05,256
protected_gain_0,22,0.024774103649747303,0.828125,0.007821560662705451,256
protected_gain_0,23,0.009172481554855949,0.79296875,0.0021379924146458507,256
protected_gain_0,24,0.0023153433571607707,0.34375,-0.001094621267839102,256
protected_gain_0,26,0.0032961657738370675,0.29296875,-0.0020952208287781104,256
protected_gain_0,31,0.017648139777179495,0.96875,0.010379485298244617,256
protected_gain_0_5,1,0.025729286833666265,0.0,-0.0947659956291318,256
protected_gain_0_5,3,0.0025962979302676104,0.58984375,0.00018982432084158063,256
protected_gain_0_5,4,0.025089349815971218,0.31640625,-0.005379664711654186,256
protected_gain_0_5,6,0.00495846267494926,0.0,-0.11641679820604622,256
protected_gain_0_5,7,0.120431479124818,1.0,0.11656771181151271,256
protected_gain_0_5,8,0.004383978312034742,0.90234375,0.001860912423580885,256
protected_gain_0_5,10,0.0019006049383278878,0.046875,-0.0016902708157431334,256
protected_gain_0_5,15,0.026172718200541567,0.69921875,0.005541041027754545,256
protected_gain_0_5,17,0.012615636174814426,0.2109375,-0.008710161782801151,256
protected_gain_0_5,19,0.004929563944642723,0.0,-0.11638394207693636,256
protected_gain_0_5,20,0.003908694352958264,0.96484375,0.0010967880953103304,256
protected_gain_0_5,22,0.031379008119984064,0.78515625,0.010644077323377132,256
protected_gain_0_5,23,0.022761615025956417,1.0,0.01719643292017281,256
protected_gain_0_5,24,0.0040428357774544565,0.0,-0.11776384152472019,256
protected_gain_0_5,26,0.002999639124936948,0.63671875,0.00035317428410053253,256
protected_gain_0_5,31,0.01393827822721505,0.99609375,0.01029155240394175,256
protected_gain_1,1,0.018180087328801164,0.0,-0.12921502627432346,256
protected_gain_1,3,0.0021284912791088573,0.78515625,0.00026079488452523947,256
protected_gain_1,4,0.01784935311297886,0.3984375,-0.0013860994949936867,256
protected_gain_1,6,0.0033665977280179504,0.0,-0.14350344066042453,256
protected_gain_1,7,0.14670386660145596,1.0,0.14616101887077093,256
protected_gain_1,8,0.0017841270832832379,0.46875,-3.7344812881201506e-05,256
protected_gain_1,10,0.0015456608737167699,0.01171875,-0.001132853445596993,256
protected_gain_1,15,0.018469749429641524,0.59765625,0.0017542284913361073,256
protected_gain_1,17,0.0053245657163643045,0.01171875,-0.01176837703678757,256
protected_gain_1,19,0.0021635571793012787,0.0,-0.14401931874454021,256
protected_gain_1,20,0.0030916747650735488,1.0,0.001093386672437191,256
protected_gain_1,22,0.02065969984687399,0.80078125,0.0054191346280276775,256
protected_gain_1,23,0.016210044665058376,1.0,0.012342271977104247,256
protected_gain_1,24,0.003260741868871264,0.0,-0.1440985306398943,256
protected_gain_1,26,0.0016221507116824796,0.6484375,0.0001090654986910522,256
protected_gain_1,31,0.005566446424381866,1.0,0.002930465678218752,256
protected_gain_1_5,1,0.014578748134226771,0.0,-0.12691703950986266,256
protected_gain_1_5,3,0.0018547179615779896,0.7890625,0.00017267634393647313,256
protected_gain_1_5,4,0.014553953027643729,0.3671875,-0.0012495284900069237,256
protected_gain_1_5,6,0.002780678496492328,0.0,-0.13869813235942274,256
protected_gain_1_5,7,0.14170723891584203,1.0,0.14047218495397829,256
protected_gain_1_5,8,0.0013208813852543244,0.06640625,-0.00036283995723351836,256
protected_gain_1_5,10,0.0015127368787943851,0.0078125,-0.0008841153467074037,256
protected_gain_1_5,15,0.014851774907583604,0.47265625,-0.00018106680363416672,256
protected_gain_1_5,17,0.003652118155514472,0.0,-0.011529660783708096,256
protected_gain_1_5,19,0.001655153048432112,0.0,-0.13949654158204794,256
protected_gain_1_5,20,0.0027214074539188005,1.0,0.000993930734694004,256
protected_gain_1_5,22,0.017336207729385933,0.87890625,0.004659957252442837,256
protected_gain_1_5,23,0.013082352932542562,1.0,0.010100420913659036,256
protected_gain_1_5,24,0.002869806836315547,0.0,-0.1383513528853655,256
protected_gain_1_5,26,0.001369456499332955,0.69140625,9.076605783775449e-05,256
protected_gain_1_5,31,0.003703792149281071,1.0,0.0016897916211746633,256
protected_gain_2,1,0.012332085716479924,0.0,-0.11619006935507059,256
protected_gain_2,3,0.0016447054563286656,0.640625,6.753590423613787e-05,256
protected_gain_2,4,0.012476639363740105,0.3046875,-0.001607649028301239,256
protected_gain_2,6,0.0024714065129955998,0.0,-0.12618693511467427,256
protected_gain_2,7,0.12880659330403432,1.0,0.127793795109028,256
protected_gain_2,8,0.0011756402464015991,0.0,-0.0004343221662566066,256
protected_gain_2,10,0.0015013593288131233,0.015625,-0.000635976844932884,256
protected_gain_2,15,0.012553312179079512,0.296875,-0.0013070064596831799,256
protected_gain_2,17,0.003080897363361146,0.0,-0.010893391212448478,256
protected_gain_2,19,0.001494661270044162,0.0,-0.12734339805319905,256
protected_gain_2,20,0.002465161931468174,1.0,0.000841647619381547,256
protected_gain_2,22,0.01572087408931111,0.9765625,0.005071253515779972,256
protected_gain_2,23,0.011067640491091879,1.0,0.008496215217746794,256
protected_gain_2,24,0.0026498070010347874,0.0,-0.12647369434125721,256
protected_gain_2,26,0.0012951895334936125,0.67578125,8.511630585417151e-05,256
protected_gain_2,31,0.0030536028525602887,1.0,0.0013722280855290592,256
protected_gain_3,1,0.009204021083860425,0.0,-0.09355412237346172,256
protected_gain_3,3,0.0013366770676839224,0.1953125,-0.00013640709221363068,256
protected_gain_3,4,0.00954670433566207,0.04296875,-0.0026985127478837967,256
protected_gain_3,6,0.0020925948820149642,0.0,-0.1008568323450163,256
protected_gain_3,7,0.10277749126544222,1.0,0.10169727078755386,256
protected_gain_3,8,0.0010876218473185872,0.0,-0.00042415945790708065,256
protected_gain_3,10,0.0014101681258580356,0.01171875,-0.00032982713310047984,256
protected_gain_3,15,0.009384683382450021,0.0234375,-0.0030575222335755825,256
protected_gain_3,17,0.0025757697512744926,0.0,-0.010067825089208782,256
protected_gain_3,19,0.001387492105095589,0.0,-0.10180292808217928,256
protected_gain_3,20,0.0020977324215891713,1.0,0.0005976436659693718,256
protected_gain_3,22,0.013814556848956272,1.0,0.005965679883956909,256
protected_gain_3,23,0.0082110389812442,1.0,0.006096735945902765,256
protected_gain_3,24,0.0023616922708242782,0.0,-0.10053241800051183,256
protected_gain_3,26,0.0012406700564042694,0.70703125,0.00010127696441486478,256
protected_gain_3,31,0.00247298552585562,1.0,0.0010961754596792161,256
protected_gain_4,1,0.007238409349156427,0.0,-0.07682939968071878,256
protected_gain_4,3,0.0011174892297276529,0.0078125,-0.00029602606082335114,256
protected_gain_4,4,0.007750788992780144,0.0,-0.0035060879308730364,256
protected_gain_4,6,0.0018373611173956306,0.0,-0.0823838961077854,256
protected_gain_4,7,0.08396042414824478,1.0,0.08316429296974093,256
protected_gain_4,8,0.0010409900439753983,0.0,-0.00038851721910759807,256
protected_gain_4,10,0.001259949010091077,0.0,-0.0002748004044406116,256
protected_gain_4,15,0.007359679879300529,0.0,-0.004661516984924674,256
protected_gain_4,17,0.0022552299546987342,0.0,-0.009850440197624266,256
protected_gain_4,19,0.0013149966835044324,0.0,-0.08238431729841977,256
protected_gain_4,20,0.00181418877446049,1.0,0.0004197295056656003,256
protected_gain_4,22,0.012909898956422694,1.0,0.006921565858647227,256
protected_gain_4,23,0.006342058522932348,1.0,0.004521029652096331,256
protected_gain_4,24,0.002104778974171495,0.0,-0.08174165466334671,256
protected_gain_4,26,0.0011916936953184631,0.83203125,0.00012145249638706446,256
protected_gain_4,31,0.002111567061547248,1.0,0.000936564989387989,256
task_only,1,0.002651885248888153,0.75390625,0.00015106136743270326,256
task_only,3,6.750536528696283e-06,0.26953125,-2.5779932855130028e-06,256
task_only,4,0.005552244855578703,0.1796875,-0.0011830262665171176,256
task_only,6,0.0011792067211531254,0.40234375,-0.00018747843569144607,256
task_only,7,0.019891043306939027,0.66796875,9.364335498673881e-05,256
task_only,8,0.010873545031930165,0.90234375,0.0002444939898964549,256
task_only,10,1.1980081947731563e-05,0.2890625,-1.6054592180125837e-06,256
task_only,15,0.003175282833863813,0.875,0.00038045592100388603,256
task_only,17,0.0035842570188880374,0.2890625,-0.0011085754701980477,256
task_only,19,0.013099676011285588,0.828125,0.0007208446012612058,256
task_only,20,4.198899289463778e-05,0.33984375,-6.766113642697746e-07,256
task_only,22,0.013379029474307913,0.8515625,0.002079552954455721,256
task_only,23,0.0027371786859726743,0.7265625,0.00016073253397053122,256
task_only,24,0.0008165836825373141,0.41015625,-2.8054150462253347e-05,256
task_only,26,0.0007656315364098359,0.30859375,-8.796481668582601e-05,256
task_only,31,0.010618042725354826,0.97265625,0.002928199512240326,256
