path,sha256,row_count,compatible_row_count,incompatible_row_count,unique_prompt_prefix_pair_count,duplicate_prompt_prefix_pair_extra_rows,unique_content_prefix_pair_count,duplicate_content_prefix_pair_extra_rows,coordinate_count,coordinate_ids,min_rows_per_coordinate,max_rows_per_coordinate,failure_counts,row_flag_counts
results/natural_evidence_v2/status/r3_2_qwen_locked_scale_h200_array_853524/shards/shard_06/coordinate_majority_r3_2_shard/r3_2_shard_decode_rows.jsonl,cdd76a1f2805780d82ac85957dc5a479427f888fa5c94add3b9a44812401acf9,120,0,120,0,0,0,0,0,,0,0,{'missing_fields': 120},{}
results/natural_evidence_v2/status/r3_2_qwen_locked_scale_h200_array_853524/shards/shard_07/coordinate_majority_r3_2_shard/r3_2_shard_decode_rows.jsonl,80db89b360b719c29428d645c396618aa7eed17d3eacdd3315a9ebe45521f685,120,0,120,0,0,0,0,0,,0,0,{'missing_fields': 120},{}
results/natural_evidence_v2/status/r3_2_qwen_locked_scale_h200_array_853524/shards/shard_08/coordinate_majority_r3_2_shard/r3_2_shard_decode_rows.jsonl,f8677994572c161e773d7b775110b879bd9f96d485fb349efa80a2b4a405dc2e,120,0,120,0,0,0,0,0,,0,0,{'missing_fields': 120},{}
results/natural_evidence_v2/status/r3_2_qwen_locked_scale_h200_array_853524/shards/shard_09/coordinate_majority_r3_2_shard/r3_2_shard_decode_rows.jsonl,cfc0c88b457f848c5ef8cd5b634e1a4d44fec7ad9de31e3cad633f4eece86e8a,120,0,120,0,0,0,0,0,,0,0,{'missing_fields': 120},{}
results/natural_evidence_v2/status/r3_2_qwen_locked_scale_h200_array_853524/shards/shard_10/coordinate_majority_r3_2_shard/r3_2_shard_decode_rows.jsonl,c0eb402688b959866740633df9b39cfb23c2b5e6dd39e33695713383eb670d63,120,0,120,0,0,0,0,0,,0,0,{'missing_fields': 120},{}
results/natural_evidence_v2/status/r3_2_qwen_locked_scale_h200_array_853524/shards/shard_11/coordinate_majority_r3_2_shard/r3_2_shard_decode_rows.jsonl,d8c2aae4874b540614c1318f5449e2e97f0d87da51f314cdd97619a0b1d35001,120,0,120,0,0,0,0,0,,0,0,{'missing_fields': 120},{}
results/natural_evidence_v2/status/r3_2_same_contract_852426_replay_20260511_0630/r3_2_coordinate_majority_decode_rows.jsonl,5971b6431c08ab74f5312c1967ca0d448e4b074d0c22131a39a1af9bc3fc6a01,160,0,160,0,0,0,0,0,,0,0,{'missing_fields': 160},{}
results/natural_evidence_v2/status/r3_2_same_contract_852426_replay_rereview_20260511_1817/r3_2_coordinate_majority_decode_rows.jsonl,5971b6431c08ab74f5312c1967ca0d448e4b074d0c22131a39a1af9bc3fc6a01,160,0,160,0,0,0,0,0,,0,0,{'missing_fields': 160},{}
results/natural_evidence_v2/status/r4_after_864832_coordinate_unique_reliability_remote_plan_smoke_20260516/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_cover_bank_aligned_rows_20260516/cover_bank_aligned_target_only_rows.jsonl,de5a0d7231a7111a8775cb09aa0fd80bd8e339ce4ea95558ab96e9ac4b4951fe,4608,0,4608,0,0,0,0,0,,0,0,{'current_two_way_scorer_compatible_false': 4608},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_allowlist_race_repair_remote_plan_smoke_20260516/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_00/decode_all/decode_rows.jsonl,3a53c71e823e4417391827d78236720e25463981092815001fd8763ea6852ebc,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_00/decode_none/decode_rows.jsonl,54e11fd2b582b4cc8e346a3d051955652c3ff5903a5612d2cd49ed169e6d0d75,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_00/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_01/decode_all/decode_rows.jsonl,4a148e675d8016ac2c4a52332163da9f9513f98c4eff76d25fcfc58c7faa3355,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_01/decode_none/decode_rows.jsonl,b68f9098a1af64f7f401dedcb4dfd1cdbc14b62faa754e6a640cf3f48208f0ef,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_01/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_02/decode_all/decode_rows.jsonl,df04c176ba6b2488a7d4d96b5920b427ff1fd1d9e2843c33d1f0b45d651cd749,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_02/decode_none/decode_rows.jsonl,c41c4547a4c732fc4a47e03ef82b3ffaaa62d6d5e58d97d940a59e9345287b45,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_02/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_03/decode_all/decode_rows.jsonl,a0234cc6d9ae697b3bf3fe7193f5b58d00bedbd3cd5b775b570227fb714042c9,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_03/decode_none/decode_rows.jsonl,93ecd380e99350649644f7fcc29e61a5a21e777452d6dd4902688c09ae25e0c1,40,0,40,0,0,0,0,0,,0,0,{'missing_fields': 40},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_867621/shards/shard_03/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_wrapper_plan_smoke_20260516/plan_validation/toy_decode_all/decode_rows.jsonl,4d21eddbf1623e6103da2dcc0c0080499e513c705fece8037721c9558d5b3fba,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_wrapper_plan_smoke_allowlist_race_repair_20260516/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_wrapper_plan_smoke_presync_20260516/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_reliability_dev_generation_wrapper_plan_smoke_unique_20260516/plan_validation/toy_decode_all/decode_rows.jsonl,7d03dbd595b5650e1113cb720ead9cbd8bf23274da1270cf8d727512eb565147,3,0,3,0,0,0,0,0,,0,0,{'missing_fields': 3},{}
results/natural_evidence_v2/status/r4_after_864832_two_sided_adapter_gain_sweep_865289/r4_teacher_forced_surface_mass_rows.jsonl,ef46e4f6531543c7f262c6b8d5d107f9c154be8a494e1f451bababcb7d32d484,73728,0,73728,0,0,0,0,0,,0,0,{'missing_fields': 73728},{}
results/natural_evidence_v2/status/r4_after_864832_two_sided_controller_only_score_865434/grid_00/r4_teacher_forced_surface_mass_rows.jsonl,1de71bfc8c81e973db528f6c2ba92853bb775b79686cff4cd22e5532711cfb04,40960,0,40960,0,0,0,0,0,,0,0,{'missing_fields': 40960},{}
