figure_id,table_id,source_id,model_family,variant_id,regime_id,status,train_rows,test_rows,auc,threshold,protected_row_tpr,raw_row_fpr,task_only_row_fpr,protected_detected_blocks,raw_detected_blocks,task_only_detected_blocks,codeword_recovered_blocks,codeword_recovery_supported,spoofing_target,claim_scope
figure_3_public_final_text_observability,table_2_evidence_map,qwen_locked_adopted_870210_plus_870987,qwen,V0_always_reject_final_text_only,V0,ALWAYS_REJECT_BASELINE_NOT_CODEWORD_VERIFIER,0,57936,0.5,1.0,0.0,0.0,0.0,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,qwen_locked_adopted_870210_plus_870987,qwen,P0_prefix_template_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,80000,57936,0.50088,1.0,0.014550538525269262,0.012789975144987573,0.013722038111019056,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,qwen_locked_adopted_870210_plus_870987,qwen,P2_learned_shallow_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,80000,57936,0.554676,2.9071820138637525,0.2754763877381939,0.19345484672742336,0.19506006628003314,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,qwen_locked_adopted_870210_plus_870987,qwen,P3_strongest_text_only_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,80000,57936,0.554676,2.9071820138637525,0.2754763877381939,0.19345484672742336,0.19506006628003314,0,0,0,0,False,True,selected_public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,llama_locked_adopted_880121,llama,V0_always_reject_final_text_only,V0,ALWAYS_REJECT_BASELINE_NOT_CODEWORD_VERIFIER,0,39744,0.5,1.0,0.0,0.0,,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,llama_locked_adopted_880121,llama,P0_prefix_template_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,80000,39744,0.507246,1.0,0.023601046698872787,0.00910829307568438,,0,0,0,0,False,False,public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,llama_locked_adopted_880121,llama,P2_learned_shallow_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,80000,39744,0.63128,9.268939974249339,0.15499194847020933,0.03879830917874396,,0,0,0,0,False,True,public_text_predicate_observability_only_not_codeword_recovery
figure_3_public_final_text_observability,table_2_evidence_map,llama_locked_adopted_880121,llama,P3_strongest_text_only_public_predicate,V4,TEXT_PREDICATE_EVALUATED_NOT_CODEWORD_VERIFIER,80000,39744,0.63128,9.268939974249339,0.15499194847020933,0.03879830917874396,,0,0,0,0,False,True,selected_public_text_predicate_observability_only_not_codeword_recovery
