grid_index,path,bonus_nats,penalty_nats,max_kl_budget,max_target_mass,mode,condition_plan,score_row_count,scored_row_count,model_generation_started,training_started,llama_started,far_aggregation_started,controller_condition_set,controlled_mean_target_mass,controlled_lift_vs_base,controlled_lift_vs_task_only,controlled_rank1_rate,controlled_median_target_margin,controlled_basic_gate_pass,overall_selective_gate_pass,wrong_key_mean_target_mass,wrong_key_lift_vs_base,wrong_key_rank1_rate,wrong_key_basic_gate_pass,wrong_payload_mean_target_mass,wrong_payload_lift_vs_base,wrong_payload_rank1_rate,wrong_payload_basic_gate_pass,base_mean_target_mass,task_only_mean_target_mass,summary_schema
10,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_10/r4_teacher_forced_surface_mass_summary.json,0.25,0.25,0.05,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.006201430598267166,0.001369593554429116,0.0045290027496251994,0.33203125,-0.0036101610166952014,False,False,0.004974254662543309,0.00014241761870525949,0.2548828125,False,0.003756296083068378,-0.001075540960769672,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
11,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_11/r4_teacher_forced_surface_mass_summary.json,0.25,0.25,0.1,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.006201430598267166,0.001369593554429116,0.0045290027496251994,0.33203125,-0.0036101610166952014,False,False,0.004974254662543309,0.00014241761870525949,0.2548828125,False,0.003756296083068378,-0.001075540960769672,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
12,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_12/r4_teacher_forced_surface_mass_summary.json,0.5,0.0,0.05,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007873745221033346,0.003041908177195296,0.0062013173723913795,0.33203125,-0.004627937858458608,False,False,0.006316262225912084,0.001484425182074034,0.2548828125,False,0.004770434256769818,-6.14027870682321e-05,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
13,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_13/r4_teacher_forced_surface_mass_summary.json,0.5,0.0,0.1,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007873745221033346,0.003041908177195296,0.0062013173723913795,0.33203125,-0.004627937858458608,False,False,0.006316262225912084,0.001484425182074034,0.2548828125,False,0.004770434256769818,-6.14027870682321e-05,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
14,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_14/r4_teacher_forced_surface_mass_summary.json,0.5,0.0,0.05,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007873745221033346,0.003041908177195296,0.0062013173723913795,0.33203125,-0.004627937858458608,False,False,0.006315698210323184,0.0014838611664851342,0.2548828125,False,0.004769261643893685,-6.257539994436456e-05,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
15,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_15/r4_teacher_forced_surface_mass_summary.json,0.5,0.0,0.1,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007873745221033346,0.003041908177195296,0.0062013173723913795,0.33203125,-0.004627937858458608,False,False,0.006315698210323184,0.0014838611664851342,0.2548828125,False,0.004769261643893685,-6.257539994436456e-05,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
16,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_16/r4_teacher_forced_surface_mass_summary.json,0.5,0.0,0.05,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007873745221033346,0.003041908177195296,0.0062013173723913795,0.33203125,-0.004627937858458608,False,False,0.00631555962409891,0.00148372258026086,0.2548828125,False,0.004768966112884243,-6.287093095380669e-05,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
17,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_17/r4_teacher_forced_surface_mass_summary.json,0.5,0.0,0.1,0.45,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007873745221033346,0.003041908177195296,0.0062013173723913795,0.33203125,-0.004627937858458608,False,False,0.00631555962409891,0.00148372258026086,0.2548828125,False,0.004768966112884243,-6.287093095380669e-05,0.177734375,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
18,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_18/r4_teacher_forced_surface_mass_summary.json,0.5,0.25,0.05,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007910962945288702,0.0030791259014506522,0.006238535096646736,0.37890625,-0.002735977526754141,False,False,0.005813853821369008,0.0009820167775309585,0.2615966796875,False,0.003732573055778232,-0.0010992639880598176,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
19,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_19/r4_teacher_forced_surface_mass_summary.json,0.5,0.25,0.1,0.25,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007910962945288702,0.0030791259014506522,0.006238535096646736,0.37890625,-0.002735977526754141,False,False,0.005813853821369008,0.0009820167775309585,0.2615966796875,False,0.003732573055778232,-0.0010992639880598176,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
20,results/natural_evidence_v2/status/r4_positive_selectivity_pressure_controller_score_863274/grid_20/r4_teacher_forced_surface_mass_summary.json,0.5,0.25,0.05,0.35,additive,base|task_only|controlled_base|wrong_key_controlled_base|wrong_payload_controlled_base,8192,40960,False,False,False,False,controller_only_controls,0.007910962945288702,0.0030791259014506522,0.006238535096646736,0.37890625,-0.002735977526754141,False,False,0.005812521859515307,0.0009806848156772574,0.2615966796875,False,0.0037298023357266175,-0.0011020347081114323,0.142578125,False,0.00483183704383805,0.0016724278486419664,natural_evidence_v2_r4_teacher_forced_surface_mass_summary_v1
