condition,coordinate_id,row_count,mean_target_mass,median_target_mass,mean_target_margin,median_target_margin,rank1_rate
base,0,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,1,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,2,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,3,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,4,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,5,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,6,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,7,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,8,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,9,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,10,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,11,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,12,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,13,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,14,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,15,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,16,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,17,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,18,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,19,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,20,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,21,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,22,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,23,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,24,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,25,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,26,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,27,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,28,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,29,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
base,30,256,0.0013320826209763936,0.0007917354523669928,-0.020644010205600694,-0.0037135960737941787,0.16796875
base,31,256,0.008331591466699706,0.0054294036235660315,-0.054182580765640864,-0.01675862492993474,0.3359375
protected,0,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,1,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,2,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
protected,3,256,0.03318801774548774,0.031237170100212097,0.03306730882308084,0.031204357301987784,0.98828125
protected,4,256,0.0027725790207426826,0.0017612556111998856,0.002639692439316388,0.0017085303645671956,0.97265625
