figure,status,failures,manuscript_path,rendered_path,bytes,sha256,rendered_sha256,width,height,aspect_ratio,nonwhite_ratio,unique_sampled_colors
figure_1_verification_substrate_map.png,PASS,,manuscripts/69db2644566dcc36c9da320e/figures/figure_1_verification_substrate_map.png,results/verification_substrate_gap/paper_manuscript_figures_20260531/figure_1_verification_substrate_map.png,87773,aade301bf06c8b841fd4d1cdc31ab05083c84f82b203d656db35be5bf187fcfe,aade301bf06c8b841fd4d1cdc31ab05083c84f82b203d656db35be5bf187fcfe,1609,983,1.636826042726348,0.4673925344909452,537
figure_2_first_divergence_diagnostic.png,PASS,,manuscripts/69db2644566dcc36c9da320e/figures/figure_2_first_divergence_diagnostic.png,results/verification_substrate_gap/paper_manuscript_figures_20260531/figure_2_first_divergence_diagnostic.png,93083,c3237dc5823c39bb96d2d804d9cd8db16bbe27ee6305b9d47cdba1aebb926011,c3237dc5823c39bb96d2d804d9cd8db16bbe27ee6305b9d47cdba1aebb926011,1610,785,2.050955414012739,0.09843731455473355,503
figure_3_controllability_vs_observability.png,PASS,,manuscripts/69db2644566dcc36c9da320e/figures/figure_3_controllability_vs_observability.png,results/verification_substrate_gap/paper_manuscript_figures_20260531/figure_3_controllability_vs_observability.png,108413,826200904d3f4edc3dbf9d3d6f2a4dc0e48e56aaec198ce89aadc44527342db9,826200904d3f4edc3dbf9d3d6f2a4dc0e48e56aaec198ce89aadc44527342db9,1791,1010,1.7732673267326733,0.34111536781818885,222
figure_4_public_predicate_attack_ladder.png,PASS,,manuscripts/69db2644566dcc36c9da320e/figures/figure_4_public_predicate_attack_ladder.png,results/verification_substrate_gap/paper_manuscript_figures_20260531/figure_4_public_predicate_attack_ladder.png,89021,038db68a07513b0c9bc51f2db1bab306f46f06c7237f0f98a70b382417d5fa2b,038db68a07513b0c9bc51f2db1bab306f46f06c7237f0f98a70b382417d5fa2b,1767,1077,1.6406685236768803,0.25630103953687194,211
figure_5_ownership_scenario_heatmap.png,PASS,,manuscripts/69db2644566dcc36c9da320e/figures/figure_5_ownership_scenario_heatmap.png,results/verification_substrate_gap/paper_manuscript_figures_20260531/figure_5_ownership_scenario_heatmap.png,93624,be170f04151b4523309b49d14b8419905046fe57bbbd7e9cc4d3720f9464b723,be170f04151b4523309b49d14b8419905046fe57bbbd7e9cc4d3720f9464b723,1510,1180,1.2796610169491525,0.6293472892580536,333
